TeachingMethod,EnglishScore,MathScore,ChemistryScore,PhysicsScore,BiologyScore
Differentiated Instruction,85,88,90,87,89
Differentiated Instruction,87,90,92,89,91
Differentiated Instruction,89,85,88,86,88
Differentiated Instruction,84,87,85,88,87
Differentiated Instruction,88,89,90,90,89
Differentiated Instruction,90,92,91,91,92
Differentiated Instruction,85,86,87,85,86
Differentiated Instruction,87,88,89,87,88
Differentiated Instruction,88,85,86,88,87
Differentiated Instruction,86,87,88,86,89
Differentiated Instruction,89,88,90,89,90
Differentiated Instruction,87,89,91,87,88
Differentiated Instruction,85,90,92,90,91
Differentiated Instruction,88,87,89,86,87
Lecture-based Instruction,78,75,77,76,78
Lecture-based Instruction,76,77,79,75,77
Lecture-based Instruction,80,78,80,77,79
Lecture-based Instruction,77,76,78,76,78
Lecture-based Instruction,79,77,76,78,77
Lecture-based Instruction,75,79,77,75,76
Lecture-based Instruction,78,78,79,76,77
Lecture-based Instruction,80,75,78,77,78
Lecture-based Instruction,77,76,75,78,77
Lecture-based Instruction,79,78,76,75,78
Lecture-based Instruction,78,77,79,76,77
Lecture-based Instruction,76,78,77,75,78
Lecture-based Instruction,80,76,78,77,76
Lecture-based Instruction,77,75,79,76,78
Technology-based Learning,82,85,83,84,86
Technology-based Learning,84,87,85,83,85
Technology-based Learning,81,82,80,81,83
Technology-based Learning,83,86,84,85,84
Technology-based Learning,85,88,86,87,86
Technology-based Learning,86,89,87,88,87
Technology-based Learning,82,84,85,83,84
Technology-based Learning,83,85,84,86,83
Technology-based Learning,84,87,86,85,85
Technology-based Learning,85,88,87,87,86
Technology-based Learning,86,86,85,88,85
Technology-based Learning,82,87,84,85,86
Technology-based Learning,83,88,86,87,85
Technology-based Learning,84,89,87,88,86
